NAMASTE_code,NAMASTE_term,Biomedicine_code,Biomedicine_term,Biomedicine_mapping_type,TM-2_code,TM-2_term,TM-2_mapping_type
SM31(AAC-12),AdhmAnam,,,,SM31,Abdominal distension disorder (TM2),direct_match
AAC-12.1(SM31),pratyAdhmAnaH/pratyAnAhaH,,,,SA03,Tympanites disorder (TM1),semantic_match
AAC-13(SK30),bahirAyAmaH/bAhyAyAmaH/dhanuHstamBaH,,,,SM1C,Ranula disorder (TM2),semantic_match
AAC-13.1(SK30),asAdhyadhanuShkaMpa,,,,SP91,Generalised oedema disorder (TM2),semantic_match
AAD-3.4(SR20),asthyAvRutavAtaH,,,,SR12,Aggravation of vata pattern (TM2),semantic_match
SM75(AAC-14),UrdhvavAtaH,,,,SM75,Dynamic intestinal obstruction disorder (TM2),direct_match
AAC-15(SK22),ekA~ggavAtaH,,,,SK21,Paraplegia disorder (TM2),semantic_match
AAC-16(SK5Y),kalAyakha~jjaH,,,,SK6X,Phthisis bulbi disorder (TM2),semantic_match
AAC-17(SP10),kroShTukaSIrShaH,"FA01.Z, FA32.Z, FA33.4Z, FA34.1, NC93.2Y, NC93.2Z","Chronic instability of knee, unspecified, Dislocation of knee, unspecified, Disorder of ligament, Disorders of patella, unspecified, Osteoarthritis of knee, unspecified, Other specified dislocation of knee",semantic_match,SP12,Osteoarthritis disorder (TM2),semantic_match
AAC-18(SK2Y),kha~jjaH/kha~jjatvam,,,,SP5B,Consumptive disorder (TM2),semantic_match
SP20(AAC-19),khallI,,,,SP20,"Muscle pain, twisting disorder (TM2)",direct_match
SP41(AAC-20),gRudhrasI,"8C11.0Y, 8C11.0Z, ME84.3, NC74.0, XA9KK8","Injury of sciatic nerve at hip or thigh level, Lesion of sciatic nerve, unspecified, Other specified lesion of sciatic nerve, Sciatic nerve, Sciatica",semantic_match,SP41,Sciatica disorder (TM2),direct_match
AAC-20.1,vAtikagRudhrasI,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAC-20.2,vAtakaPaja-gRudhrasI,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAC-21(SK22),jihvAstamBaH,"DA03.Y, DA03.Z","Diseases of tongue, unspecified, Other specified diseases of tongue",semantic_match,SD00,Facial paralysis disorder (TM1),semantic_match
SM83(AAC-22),tUnI,MF56,Renal colic,semantic_match,SM83,Renal colic disorder (TM2),direct_match
AAC-239(SK30),daNDApatAnakaH,,,,SE3A,Infant stiffness disorder (TM1),semantic_match
SK22(AAC-24),pakShAghAta/pakShavadhaH,,,,SK22,Hemiplegia disorder (TM2),direct_match
