NAMASTE_code,NAMASTE_term,Biomedicine_code,Biomedicine_term,Biomedicine_mapping_type,TM-2_code,TM-2_term,TM-2_mapping_type
I-7,Insidād Fam al-Raḥim,"GA15.4, GA15.6, GA15.Y","Incompetence of cervix uteri, Other specified acquired abnormalities of cervix uteri, Stricture or stenosis of cervix uteri",semantic_match,SF9A,Phlegm obstructing the uterus pattern (TM1),semantic_match
I-8,Inghilāq al-Raḥim,"GA01.Y, GA01.Z","Inflammatory disorders of the uterus, except cervix, unspecified, Other specified inflammatory disorders of the uterus, except cervix",semantic_match,SB6Y,Other specified abscess disorders (TM1),semantic_match
I-9,Natn al-Raḥim,,,,SN44,Foul body smelling disorder (TM2),semantic_match
I-10,Inzilāq al-Raḥim,"GC05, GC40.0Z, GC40.2Z, GC40.30, GC40.34, GC40.35, GC40.37, GC40.3Z","Complete uterine prolapse with anterior and posterior vaginal wall prolapse, Complete uterine prolapse with anterior vaginal wall prolapse, Complete uterovaginal prolapse, Incomplete uterovaginal prolapse, Prolapse of anterior vaginal wall, unspecified, Prolapse of the vaginal apex, unspecified, Prolapsed urethral mucosa, Uterovaginal prolapse, unspecified",semantic_match,SF9A,Phlegm obstructing the uterus pattern (TM1),semantic_match
I-11,Isqāṭ,"JA00.00, JA00.01, JA00.03, JA00.04, JA00.05, JA00.06, JA00.08, JA00.09, JA00.10, JA00.11, JA00.12, JA00.13, JA00.14, JA00.15, JA00.16, JA00.17, JA00.18, JA00.19, JA00.21, JA00.23, JA00.24, JA00.25, JA00.26, JA00.28, JA00.29, JA00.30, JA00.31, JA00.33, JA00.34, JA00.36, JA00.38, JA03, JA0Z, JA40.0, JA81.1, JA81.3, JA86.6, JA8Z, JB23.3, KA01.6, KA0Z, KD3A, QA43.1, XA23B0","Abortive outcome of pregnancy, unspecified, Continuing pregnancy after abortion of one fetus or more, Delivery of viable fetus in abdominal pregnancy, Failed medical abortion, complicated by delayed or excessive haemorrhage, Failed medical abortion, complicated by genital tract or pelvic infection, Failed medical abortion, with other or unspecified complications, Failed medical abortion, without complication, Fetus, Fetus or newborn affected by maternal death, Fetus or newborn affected by unspecified maternal factors or by complications of pregnancy, labour or delivery, Induced abortion, complete or unspecified, complicated by delayed or excessive haemorrhage, Induced abortion, complete or unspecified, complicated by embolism, Induced abortion, complete or unspecified, complicated by genital tract or pelvic infection, Induced abortion, complete or unspecified, with other complication, Induced abortion, complete or unspecified, without complication, Induced abortion, incomplete, complicated by delayed or excessive haemorrhage, Induced abortion, incomplete, complicated by embolism, Induced abortion, incomplete, complicated by genital tract or pelvic infection, Induced abortion, incomplete, with other or unspecified complications, Induced abortion, incomplete, without complication, Loss of pregnancy after abortion or intrauterine death of one fetus or more, Maternal care for viable fetus in abdominal pregnancy, Maternal care related to unspecified fetus, amniotic cavity or possible delivery problems, Missed abortion, Other or unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage, Other or unspecified failed attempted abortion, with other or unspecified complications, Spontaneous abortion, complete or unspecified, complicated by delayed or excessive haemorrhage, Spontaneous abortion, complete or unspecified, complicated by genital tract or pelvic infection, Spontaneous abortion, complete or unspecified, with other or unspecified complications, Spontaneous abortion, complete or unspecified, without complication, Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage, Spontaneous abortion, incomplete, complicated by genital tract or pelvic infection, Spontaneous abortion, incomplete, with other or unspecified complications, Spontaneous abortion, incomplete, without complication, Supervision of pregnancy with history of abortive outcome, Termination of pregnancy, affecting surviving fetus or newborn, Threatened abortion, Unspecified abortion, complete or unspecified, complicated by delayed or excessive haemorrhage, Unspecified abortion, complete or unspecified, complicated by genital tract or pelvic infection, Unspecified abortion, complete or unspecified, with other or unspecified complications, Unspecified abortion, complete or unspecified, without complication, Unspecified abortion, incomplete, complicated by delayed or excessive haemorrhage, Unspecified abortion, incomplete, with other or unspecified complications, Unspecified abortion, incomplete, without complication",semantic_match,SN1Y,Other specified pregnancy and childbirth related disorders (TM2),semantic_match
I-11.1,Isqāṭ ‘Ādī,"JA00.00, JA00.01, JA00.03, JA00.04, JA00.05, JA00.06, JA00.07, JA00.08, JA00.09, JA00.10, JA00.11, JA00.13, JA00.14, JA00.15, JA00.16, JA00.18, JA00.19, JA00.21, JA00.23, JA00.24, JA00.26, JA00.28, JA00.29, JA00.31, JA00.33, JA00.34, JA00.35, JA00.36, JA00.38, JA00.39, JA03, JA40.0, JA65.4, JA81.1, QA43.1","Continuing pregnancy after abortion of one fetus or more, Failed medical abortion, complicated by delayed or excessive haemorrhage, Failed medical abortion, with other or unspecified complications, Failed medical abortion, without complication, Induced abortion, complete or unspecified, complicated by delayed or excessive haemorrhage, Induced abortion, complete or unspecified, complicated by genital tract or pelvic infection, Induced abortion, complete or unspecified, with other complication, Induced abortion, complete or unspecified, without complication, Induced abortion, incomplete, complicated by delayed or excessive haemorrhage, Induced abortion, incomplete, complicated by genital tract or pelvic infection, Induced abortion, incomplete, with other or unspecified complications, Induced abortion, incomplete, without complication, Missed abortion, Other or unspecified failed attempted abortion, complicated by delayed or excessive haemorrhage, Other or unspecified failed attempted abortion, complicated by genital tract or pelvic infection, Other or unspecified failed attempted abortion, with other or unspecified complications, Other or unspecified failed attempted abortion, without complication, Pregnancy care of habitual aborter, Spontaneous abortion, complete or unspecified, complicated by delayed or excessive haemorrhage, Spontaneous abortion, complete or unspecified, complicated by embolism, Spontaneous abortion, complete or unspecified, complicated by genital tract or pelvic infection, Spontaneous abortion, complete or unspecified, with other or unspecified complications, Spontaneous abortion, complete or unspecified, without complication, Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage, Spontaneous abortion, incomplete, complicated by genital tract or pelvic infection, Spontaneous abortion, incomplete, with other or unspecified complications, Spontaneous abortion, incomplete, without complication, Supervision of pregnancy with history of abortive outcome, Threatened abortion, Unspecified abortion, complete or unspecified, complicated by delayed or excessive haemorrhage, Unspecified abortion, complete or unspecified, with other or unspecified complications, Unspecified abortion, complete or unspecified, without complication, Unspecified abortion, incomplete, complicated by delayed or excessive haemorrhage, Unspecified abortion, incomplete, with other or unspecified complications, Unspecified abortion, incomplete, without complication",semantic_match,SN1Y,Other specified pregnancy and childbirth related disorders (TM2),semantic_match
I-12,Iltihāb Khuṣya al-Raḥim,"GA05.Y, GA05.Z","Female pelvic inflammatory diseases, unspecified, Other specified female pelvic inflammatory diseases",semantic_match,SP10,Polyarthritis disorder (TM2),semantic_match
I-13,Waja‘ Khuṣya al-Raḥim,"5A80.Y, 5A80.Z, GA34.0Y, GA34.0Z, GA34.2Z, GA34.6, GA34.Y, GA34.Z, HA2Z","Female genital pain, Female pelvic pain associated with genital organs or menstrual cycle, unspecified, Female pelvic pain, unspecified, Other specified female pelvic pain associated with genital organs or menstrual cycle, Other specified ovarian dysfunction, Other specified pain related to vulva, vagina or pelvic floor, Ovarian dysfunction, unspecified, Pain related to vulva, vagina or pelvic floor, unspecified, Sexual pain disorders, unspecified",semantic_match,SC4Z,"Female reproductive system disorders (TM1) (including childbirth), unspecified",semantic_match
I-14,Khurūj Khuṣya al-Raḥim,,,,SF9A,Phlegm obstructing the uterus pattern (TM1),semantic_match
I-15,Istisqā’ Khuṣya al-Raḥim,"GA05.Z, GA0Z, GA18.0, GA18.4, GA18.6, GA18.Y, GA18.Z, GA6Z, XA9PB2","Acquired abnormalities of ovary, unspecified, Diseases of the female genital system, unspecified, Female pelvic inflammatory diseases, unspecified, Follicular cyst of ovary, Inflammatory disorders of the female genital tract, unspecified, Other or unspecified ovarian cysts, Other specified acquired abnormalities of ovary, Ovarian plexus, Para ovarian cyst",semantic_match,SC4Z,"Female reproductive system disorders (TM1) (including childbirth), unspecified",semantic_match
I-16,Sal‘a Khuṣya al-Raḥim,"2B5D.0, 2C73.00, 2C73.01, 2C73.03, 2C73.04, 2C73.0Y, 2C73.0Z, 2C73.Y, 2C73.Z, 2E05.0, 2F32.Y, 2F32.Z, GA18.6, GA18.Y, GA18.Z, XA9PB2, XH3SX7, XH5PU7, XH5XQ2, XH71B5, XH8CW8, XH9XY1","Acquired abnormalities of ovary, unspecified, Adenocarcinoma of rete ovarii, Adenoma of rete ovarii, Benign neoplasm of ovary, unspecified, Carcinomas of ovary, unspecified, Clear cell adenocarcinoma of ovary, Endometrioid adenocarcinoma of ovary, High grade serous adenocarcinoma of ovary, Leydig cell tumour of the ovary, NOS, Lipid cell tumour of ovary, Malignant mixed epithelial mesenchymal tumour of ovary, Malignant neoplasm metastasis in ovary, Malignant neoplasms of ovary, unspecified, Mucinous adenocarcinoma of ovary, Other or unspecified ovarian cysts, Other specified acquired abnormalities of ovary, Other specified benign neoplasm of ovary, Other specified carcinomas of ovary, Other specified malignant neoplasms of the ovary, Ovarian plexus, Struma ovarii, malignant, Uterine tumour resembling ovarian sex cord tumour",semantic_match,SP7Z,"Tumours disorders (TM2), unspecified",semantic_match
I-17,Ghishā’ Khuṣya al-Raḥim Kādhib,,,,SF9A,Phlegm obstructing the uterus pattern (TM1),semantic_match
I-18,Taṣaghghur Khuṣya al-Raḥim,GA18.7,Acquired atrophy of ovary or fallopian tube,semantic_match,SC4Z,"Female reproductive system disorders (TM1) (including childbirth), unspecified",semantic_match
I-19,Iltihāb al-Qādhif,,,,SK66,Conjunctivitis disorder (TM2),semantic_match
I-20,Ta’akkul al-Qādhif,,,,SL71,Varicose ulcer disorder (TM2),semantic_match
I-21,Sal‘a al-Qādhif,"2C74.0, 2C74.Y, 2C74.Z, GA17.Y, GA17.Z, LB45.5, LB45.6, LB45.7, LB45.8, NB92.5, XA3EF0","Accessory fallopian tube, Acquired abnormalities of fallopian tube, unspecified, Adenocarcinoma of fallopian tube, Atresia of fallopian tube, Congenital absence of fallopian tube, Embryonic cyst of fallopian tube, Fallopian tube, Injury of fallopian tube, Malignant neoplasms of fallopian tube, unspecified, Other specified acquired abnormalities of fallopian tube, Other specified malignant neoplasms of fallopian tube",semantic_match,SP72,Deep rooted spreading tumour disorder (TM2),semantic_match
I-22,Insidād al-Qādhif,"GA17.Y, GA17.Z, GA18.7, LB45.5, LB45.6, LB45.7, NB92.5, XA3EF0","Accessory fallopian tube, Acquired abnormalities of fallopian tube, unspecified, Acquired atrophy of ovary or fallopian tube, Atresia of fallopian tube, Congenital absence of fallopian tube, Fallopian tube, Injury of fallopian tube, Other specified acquired abnormalities of fallopian tube",semantic_match,SC4Z,"Female reproductive system disorders (TM1) (including childbirth), unspecified",semantic_match
I-23,Inshiqāq al-Qādhif,"GA17.Y, LB45.5, NB92.5","Congenital absence of fallopian tube, Injury of fallopian tube, Other specified acquired abnormalities of fallopian tube",semantic_match,SN1Z,"Pregnancy and childbirth related disorders (TM2), unspecified",semantic_match
I-24,Qay’ al-Ḥaml,"JA60.0, JA60.1, JA60.2, JA60.Y, JA60.Z","Excessive vomiting in pregnancy, unspecified, Hyperemesis gravidarum with metabolic disturbance, Late vomiting of pregnancy, Mild hyperemesis gravidarum, Other specified excessive vomiting in pregnancy",semantic_match,SC00,Morning sickness disorder (TM1),semantic_match
I-25,Yaraqān al-Ḥaml,,,,SM41,Jaundice disorder (TM2),semantic_match
I-26,Namla al-Ḥaml,"KA00.3, KA6Y, KA6Z","Fetus or newborn affected by maternal infectious diseases, Infections of the fetus or newborn, unspecified, Other specified infections of the fetus or newborn",semantic_match,SN1Z,"Pregnancy and childbirth related disorders (TM2), unspecified",semantic_match
I-27,Kathra al-Nafās,,,,SC13,Postpartum lochiorrhea disorder (TM1),semantic_match
I-28,Wus‘a Fam al-Raḥim,"JA84.3, ME84.0, NA23.10, NA23.12, NA23.1Z, NA23.4Y, NA23.4Z, NA31.0, NA31.1, NA31.2, NA31.3, NA31.5, NA3Z, NA40, NA43, XA0245, XA06Q1, XA0N03, XA15A2, XA18M2, XA1LR0, XA1QX0, XA25F4, XA26W5, XA2FY7, XA2M04, XA2MT0, XA36V3, XA3XK7, XA4WT3, XA53S6, XA5BL9, XA60Z0, XA6LU7, XA75V3, XA7LF0, XA7SG3, XA7Z73, XA87U1, XA8CG0, XA8YT7, XA91D7, XA96Q6, XA9DY6","Ansa cervicalis, Anterior cord syndrome of cervical spinal cord, Central cord syndrome of cervical spinal cord, Cervical canal, Cervical intervertebral disc or space C2-C3, Cervical oesophagus, Cervical plexus, Cervical spine pain, Cervical trachea, Complete lesion of cervical spinal cord, Cranio-cervical dissociation, Dislocation of cervical vertebra, unspecified, Dislocation of other specified cervical vertebra, Eighth cervical nerve root, Eighth cervical spinal nerve, Fifth cervical nerve root, Fifth cervical spinal nerve, First cervical nerve root, First cervical spinal nerve, Fourth cervical nerve root, Fourth cervical spinal nerve, Injury of cervical spinal cord, unspecified, Injury of cervical sympathetic nerves, Injury of nerve root of cervical spine, Maternal care for cervical incompetence, Nerve of the cervical region, Other incomplete cord syndrome of cervical spinal cord, Other specified strain or sprain of cervical spine, Posterior cord syndrome of cervical spinal cord, Processes of fifth cervical vertebra, Processes of fourth cervical vertebra, Processes of seventh cervical vertebra, Processes of sixth cervical vertebra, Processes of third cervical vertebra, Second cervical nerve root, Second cervical spinal nerve, Seventh cervical nerve root, Seventh cervical spinal nerve, Sixth cervical nerve root, Sixth cervical spinal nerve, Strain or sprain of cervical spine, unspecified, Third cervical nerve root, Third cervical spinal nerve, Transverse cervical nerve",semantic_match,SP45,Cervical spondylosis disorder (TM2),semantic_match
I-29,Rajā’,,,,SN1Y,Other specified pregnancy and childbirth related disorders (TM2),semantic_match
I-30,‘Usr al-Wilāda/‘Usr al-Ḥaml,"JB02.Y, JB02.Z, JB04.Y, JB04.Z, JB05.4, JB05.5, JB05.Y, JB05.Z, JB06.0, JB06.2, JB06.3, JB06.Y, JB07.Y, JB07.Z, KA05.1","Abnormalities of forces of labour, unspecified, Fetus or newborn affected by other malpresentation, malposition or disproportion during labour or delivery, Labour or delivery complicated by fetal distress, unspecified, Obstructed labour due to abnormality of maternal pelvic organs, Obstructed labour due to foetopelvic disproportion, unspecified, Obstructed labour due to malposition or malpresentation of fetus, unspecified, Obstructed labour due to maternal pelvic abnormality, unspecified, Obstructed labour due to other abnormalities of fetus, Obstructed labour due to other malposition and malpresentation of fetus, Obstructed labour due to other maternal pelvic abnormalities, Obstructed labour due to other specified causes, Obstructed labour due to shoulder dystocia, Obstructed labour due to unusually large fetus, Other specified abnormalities of forces of labour, Other specified labour or delivery complicated by fetal distress",semantic_match,SN1Z,"Pregnancy and childbirth related disorders (TM2), unspecified",semantic_match
I-31,Iḥtibās al-Mashīma,"JA8A.2, JA8C.Y, JA8C.Z, JB0B.0, JB0B.1, XA90F8, XM0J12","Maternal care related to premature separation of placenta, unspecified, Morbidly adherent placenta, Other specified maternal care related to premature separation of placenta, Placenta, Placental hormone, Retained placenta without haemorrhage, Retained portions of placenta or membranes, without haemorrhage",semantic_match,SN1Z,"Pregnancy and childbirth related disorders (TM2), unspecified",semantic_match
I-32,Iḥtibās al-Nafās,,,,SC13,Postpartum lochiorrhea disorder (TM1),semantic_match
I-33,‘Uqr,"GA31.0Y, GA31.0Z, GA31.1Y, GA31.1Z, GA32.2, GA32.Y, GA32.Z, JB63.7","Complications associated with medically assisted reproduction, unspecified, Human immunodeficiency disease complicating pregnancy, childbirth or the puerperium, Infection associated with medically assisted reproduction, Other specified complications associated with medically assisted reproduction, Primary female infertility of other specified origin, Primary female infertility of unspecified origin, Secondary female infertility of other specified origin, Secondary female infertility of unspecified origin",semantic_match,SM94,Female infertility disorder (TM2),semantic_match
I-34,Qilla al-Laban,"JB46.5, JB46.7","Other or unspecified disorders of lactation, Suppressed lactation","direct_match, semantic_match",SN11,Vitiated breast milk disorder (TM2),semantic_match
I-35,Kathra al-Laban/Taghzīr al-Laban,"9A10.0, 9A10.Y, 9A10.Z, GB21.Y, GB21.Z, GB23.4, JB45.Y, JB45.Z, JB46.6","Disorders of lacrimal gland, unspecified, Galactorrhoea, Galactorrhoea not associated with childbirth, Infections of breast associated with childbirth, unspecified, Infections of the lacrimal gland, Inflammatory disorders of breast, unspecified, Other specified disorders of lacrimal gland, Other specified infections of breast associated with childbirth, Other specified inflammatory disorders of breast","direct_match, semantic_match",SK6D,Lacrimation disorder (TM2),semantic_match
I-36,Tajabbun al-Laban,,,,SN11,Vitiated breast milk disorder (TM2),semantic_match
I-37,Waram al-Thadī,"2A21.0Z, 2A21.Z, AB11.0, AB11.1, AB11.3, AB11.Y, GB21.Y, GB21.Z, GB2Y, JB45.1","Acute mastoiditis, Chronic mastoiditis, Inflammatory disorders of breast, unspecified, Mastocytosis, unspecified, Mastoiditis, unspecified as acute or chronic, Nonpurulent mastitis associated with childbirth, Other specified disorders of breast, Other specified inflammatory disorders of breast, Other specified mastoiditis related conditions, Systemic mastocytosis, unspecified",semantic_match,SN11,Vitiated breast milk disorder (TM2),semantic_match
I-38,Dubayla wa Qarḥa al-Thadyayn,"DA04.3, DB70.00, GB21.0, GB21.Z, JB45.0, NA80.0","Abrasion of breast, Abscess of breast associated with childbirth, Abscess of salivary gland, Anal abscess, Breast abscess, Inflammatory disorders of breast, unspecified","direct_match, semantic_match",SM56,Anal abscess disorder (TM2),semantic_match
I-39,‘Iẓam wa Suqūṭ al-Thadyayn,"2F75, 2F95, GB20.0, GB20.1, GB20.Y, GB2Y, GC79, GC7A, LB6Y, LB6Z, MC12, QD30, QF01.0, XA3JH6, XA9CM2","Acquired absence of breast, Chronic enlargement of lacrimal gland, Concern about breast appearance, Disorders of breast augmentation, Disorders of breast reduction, Fibroadenosis of breast, Fibrocystic change of breast, Lateral half of breast, Medial half of breast, Neoplasms of uncertain behaviour of breast, Neoplasms of unknown behaviour of breast, Other specified benign breast disease, Other specified disorders of breast, Other specified structural developmental anomalies of the breast, Structural developmental anomalies of the breast, unspecified",semantic_match,SN11,Vitiated breast milk disorder (TM2),semantic_match
I-40,Taṣaghghur al-Thadyayn,,,,SC24,Breast lump disorder (TM1),semantic_match
I-41,Tamaddud al-Thadyayn,"GB21.Y, GB21.Z, GB2Y, QF01.0","Acquired absence of breast, Inflammatory disorders of breast, unspecified, Other specified disorders of breast, Other specified inflammatory disorders of breast",semantic_match,SN11,Vitiated breast milk disorder (TM2),semantic_match
I-42,Iḥtibās al-Tamth,"GA20.0Z, GA20.Z, GA21.Z","Amenorrhoea, unspecified, Menstrual cycle bleeding disorders, unspecified, Nonmenstrual bleeding disorders, unspecified",semantic_match,SB9Z,"Menstruation associated disorders (TM1), unspecified",semantic_match
I-43,Qurūḥ al-Raḥim,"DA60.3, DA63.3, DA63.5Y, DA63.5Z, JB0A.0, JB0A.1, NB92.6","Duodenal ulcer due to external causes, unspecified, Duodenal ulcer due to other specified external causes, Injury of uterus, Rupture of uterus before onset of labour, Rupture of uterus during labour, Stress ulcer of duodenum, Stress ulcer of stomach",semantic_match,SN4W,Ulcer disorder (TM2),semantic_match
I-44,Ḥikka al-Raḥim/ Farīsmūs al-Nisā’,"EC90.10, EG60","Anal pruritus, Uraemic pruritus",semantic_match,SP99,Pruritus disorder (TM2),semantic_match
I-45,Shuqāq al-Raḥim,"JB0A.0, JB0A.1, KA01.0, NB92.6","Fetus or newborn affected by incompetence of cervix uteri, Injury of uterus, Rupture of uterus before onset of labour, Rupture of uterus during labour",semantic_match,SN1Z,"Pregnancy and childbirth related disorders (TM2), unspecified",semantic_match
I-46,Inqilāb al-Raḥim/ Nutū’ al-Raḥim,"9B82, DB53, GA01.Y, GA01.Z, GA10.B2, GA15.Y, GA16.Y, GA16.Z, GC05, GC40.00, GC40.01, GC40.0Z, GC40.10, GC40.11, GC40.1Z, GC40.20, GC40.21, GC40.2Z, GC40.30, GC40.31, GC40.32, GC40.33, GC40.34, GC40.35, GC40.36, GC40.37, GC40.3Z, GC40.50, GC40.52, GC40.53, GC40.54, GC40.60, GC40.6Y, GC40.6Z, GC40.Z, GC41, GC50.10, GC71, LB43.1, LB44.Y, LB44.Z, XA3V49, XA7AB3","Absent or diminished bladder sensation associated with pelvic organ prolapse, Acquired abnormalities of uterus, except cervix, unspecified, Agenesis or aplasia of cervix, Anal prolapse, Anorectal dysfunction associated with pelvic organ prolapse, Complete anterior vaginal wall prolapse, Complete apical vaginal wall prolapse, Complete posterior vaginal wall prolapse, Complete uterine prolapse with anterior and posterior vaginal wall prolapse, Complete uterine prolapse with anterior vaginal wall prolapse, Complete uterine prolapse with posterior vaginal wall prolapse, Complete uterovaginal prolapse, Endometriosis of rectovaginal septum or vagina, Functional bladder disorders associated with pelvic organ prolapse, unspecified, Fundus of uterus, Incomplete anterior vaginal wall prolapse, Incomplete apical vaginal wall prolapse, Incomplete posterior vaginal wall prolapse, Incomplete uterine prolapse with anterior and posterior vaginal wall prolapse, Incomplete uterine prolapse with anterior vaginal wall prolapse, Incomplete uterine prolapse with posterior vaginal wall prolapse, Incomplete uterovaginal prolapse, Inflammatory disorders of the uterus, except cervix, unspecified, Mixed urinary incontinence associated with pelvic organ prolapse, Other specified acquired abnormalities of cervix uteri, Other specified acquired abnormalities of uterus, except cervix, Other specified functional bladder disorders associated with pelvic organ prolapse, Other specified inflammatory disorders of the uterus, except cervix, Other specified structural developmental anomalies of uterus, except cervix, Overactive bladder associated with pelvic organ prolapse, Overflow incontinence associated with pelvic organ prolapse, Pelvic organ prolapse, unspecified, Prolapse of anterior vaginal wall, unspecified, Prolapse of posterior vaginal wall, unspecified, Prolapse of the vaginal apex, unspecified, Prolapse of vaginal vault after hysterectomy, Prolapsed urethral mucosa, Stress incontinence associated with pelvic organ prolapse, Structural developmental anomalies of uterus, except cervix, unspecified, Urinary incontinence, not otherwise specified with pelvic organ prolapse, Uterine plexus, Uterovaginal prolapse, unspecified, Vitreous prolapse",semantic_match,SM9A,Uterine prolapse disorder (TM2),semantic_match
I-47,Ratq,,,,SC2Z,"Other female reproductive system associated disorders (TM1), unspecified",semantic_match
I-48,Bawāsīr al-Raḥim,,,,SM99,Uterine polyps disorder (TM2),semantic_match
I-49,Kathrat-i-Ḥayḍ/ Istiḥāḍa,GA20.Y,Other specified menstrual cycle bleeding disorders,semantic_match,SM99,Uterine polyps disorder (TM2),semantic_match
I-50,Sayalān al-Raḥim,,,,SM93,Leucorrhoea disorder (TM2),semantic_match
I-51,Nāṣūr al-Raḥim,"DA50.2, DB31.0, DB50.1, DB50.2, GC04.0, GC04.10, GC04.11, GC04.12, GC04.14, GC04.15, GC04.16, GC04.18, GC04.1Y, GC04.1Z, GC04.2, LB42.2, LB44.5","Anal fistula, Anorectal fistula, Combined urethrovesicovaginal fistula, Congenital fistulae between uterus and digestive and urinary tracts, Congenital rectovaginal fistula, Fistula of duodenum, Fistula of large intestine, Fistula of large intestine to vagina, Fistula of small intestine to vagina, Fistulae involving female genital tract, unspecified, Other combined urinary fistula with severe scar or extensive tissue loss, Other specified fistulae involving female genital tract, Rectovaginal fistula, Ureteral fistula, Urethral fistula, Urethrovaginal fistula, Vesicovaginal fistula",semantic_match,SM52,Fistula in ano disorder (TM2),semantic_match
I-52,Saraṭān al-Raḥim,"2C76.43, 2C78","Carcinosarcoma of uterus, Malignant neoplasms of uterus, part not specified",semantic_match,SC23,Uterine mass disorder (TM1),semantic_match
I-53,Ikhtināq al-Raḥim,,,,SQ02,Hysteria disorder (TM2),semantic_match
I-54,Nafkh al-Raḥim,,,,SF9D,Uterine deficiency cold pattern (TM1),semantic_match
I-55,Buthūr al-Raḥim,,,,SF9A,Phlegm obstructing the uterus pattern (TM1),semantic_match
I-56,Ātshak/ Ābla Farang/ Ḍarma/ Sā‘ūr/ Al-Afranjī/ Bād Farang/ Al-Khajīl/ Qarḥa Ṣulba/Koft,"1A60.0, 1A60.1, 1A60.4, 1A60.5, 1A60.Z, 1A61.0, 1A61.1, 1A61.2, 1A61.3, 1A61.4, 1A61.Y, 1A61.Z, 1A62.20, 1A62.21, 1A62.22, 1A62.Y, 1A62.Z, 1A6Z, 1C1F","Congenital syphilis, unspecified, Early congenital syphilis, latent, Early congenital syphilis, symptomatic, Early syphilis, unspecified, Endemic non-venereal syphilis, Late congenital syphilis, latent, Late syphilis involving the musculoskeletal system, Late syphilis of skin or mucous membranes, Late syphilis, unspecified, Ocular late syphilis, Other late congenital syphilis, symptomatic, Other specified early syphilis, Other specified late syphilis, Primary anal syphilis, Primary genital syphilis, Primary syphilis of other sites, Secondary syphilis of other sites, Secondary syphilis of skin or mucous membranes, Syphilis, unspecified",semantic_match,SN31,Syphillis disorder (TM2),semantic_match
I-56.1,Wabāl Warāthī /Khilqī Ātshak / Al-Afranjī al-Warāthī / Mawrūthī Ātshak,"1A60.0, 1A60.1, 1A60.2, 1A60.4, 1A60.5, 1A60.Z, 1A61.0, 1A61.3, 1A61.Y, 1A61.Z, 1A62.21, 1A62.22, 1A62.Y, 1A62.Z, 1A6Z","Congenital syphilis, unspecified, Early congenital syphilis, latent, Early congenital syphilis, symptomatic, Early syphilis, unspecified, Late congenital syphilis, latent, Late congenital syphilitic oculopathy, Late syphilis involving the musculoskeletal system, Late syphilis of skin or mucous membranes, Late syphilis, unspecified, Other late congenital syphilis, symptomatic, Other specified early syphilis, Other specified late syphilis, Primary genital syphilis, Secondary syphilis of skin or mucous membranes, Syphilis, unspecified",semantic_match,SN31,Syphillis disorder (TM2),semantic_match
I-56.2,Ātshak Majāzī,"1A90, XN2BR","Chancroid, Chandipura virus",semantic_match,SC21,Vaginal flatus disorder (TM1),semantic_match
I-57,Waram al-Raḥim,"GA01.0Z, GA01.1Z, GA01.Y, GA01.Z","Acute inflammatory disease of uterus, unspecified, Chronic inflammatory disease of uterus, unspecified, Inflammatory disorders of the uterus, except cervix, unspecified, Other specified inflammatory disorders of the uterus, except cervix",semantic_match,SM9C,Metritis disorder (TM2),semantic_match
I-58,‘Usr al-Tamth,"GA20.Z, GA34.3","Dysmenorrhoea, Menstrual cycle bleeding disorders, unspecified","direct_match, semantic_match",SM96,Dysmenorrhoea disorder (TM2),semantic_match
I-59,Qillat-i-Tamth,"GA20.Y, GA20.Z","Menstrual cycle bleeding disorders, unspecified, Other specified menstrual cycle bleeding disorders",semantic_match,SM97,Hypomenorrhoea disorder (TM2),semantic_match
J,Amrāḍ-i-Jild wa Taz’īniyāt,"1B72.2, EB9Y, EC1Y, EC23.Y, EC5Y, EC7Y, ED0Y, ED6Y, EG30.Z, EG9Y, EG9Z, EK5Y, EM0Y, EM0Z, ME66.2, ME67","Excess and redundant skin, Other specified developmental anomalies affecting the skin, Other specified diseases of the skin, Other specified disorders of skin pigmentation, Other specified genetic disorders of skin pigmentation, Other specified genetic or developmental disorders affecting the skin, Other specified genetic syndromes affecting the skin, Other specified metabolic or nutritional disorders affecting the skin, Other specified self-inflicted skin disorders, Other specified skin disorders provoked by external factors, Secondary impetiginisation of the skin, Skin disease of unspecified nature, Skin disorder of uncertain or unspecified nature, Skin disorders involving certain specific body regions, unspecified, Skin disorders involving other specific body regions, Skin disorders localised to the scalp, unspecified",semantic_match,SN9Y,"Other specified skin, nail and hair disorders (TM2)",semantic_match
J-1,Baraṣ,,,,SN4D,Vitiligo disorder (TM2),semantic_match
J-1.1,Baraṣ Aswad,,,,SN4J,Black red skin lesion disorder (TM2),semantic_match
J-2,Bahaq Abyaḍ/ Waḍaḥ,"1F2D.0, EA88.4, EA93, EG30.2, EM0Z","Pityriasis alba, Pityriasis amiantacea, Pityriasis lichenoides, Pityriasis versicolor, Skin disease of unspecified nature","direct_match, semantic_match",SN5Z,"Skin disorders (TM2), unspecified",semantic_match
J-3,Bahaq Aswad,1F2D.0,Pityriasis versicolor,semantic_match,SN4F,Birth mark - blackish red disorder (TM2),semantic_match
J-4,Kalaf,,,,SN4J,Black red skin lesion disorder (TM2),semantic_match
J-5,Barash,,,,SN4J,Black red skin lesion disorder (TM2),semantic_match
